district_a,district_b,population_group,n_a,n_b,proportion_a,proportion_b,difference,test_used,chi2_statistic,p_value,statistically_significant,cohens_h,effect_size,interpretation
1005,1029,elderly,126,124,45.2,59.7,-14.4,Chi-Square,4.661,0.0309,Yes,-0.29,Medium,Statistically significant with moderate practical difference
1005,1030,elderly,126,134,45.2,52.2,-7.0,Chi-Square,1.009,0.3152,No,-0.14,Small,No statistically significant difference detected
1005,1031,elderly,126,124,45.2,37.9,7.3,Chi-Square,1.099,0.2946,No,0.149,Small,No statistically significant difference detected
1005,1032,elderly,126,125,45.2,31.2,14.0,Chi-Square,4.658,0.0309,Yes,0.29,Medium,Statistically significant with moderate practical difference
1005,1033,elderly,126,121,45.2,43.0,2.3,Chi-Square,0.053,0.8182,No,0.046,Small,No statistically significant difference detected
1005,1034,elderly,126,116,45.2,73.3,-28.0,Chi-Square,18.442,0.0,Yes,-0.58,Large,Statistically significant with large practical difference
1005,1035,elderly,126,125,45.2,53.6,-8.4,Chi-Square,1.437,0.2307,No,-0.167,Small,No statistically significant difference detected
1005,1036,elderly,126,136,45.2,38.2,7.0,Chi-Square,1.048,0.306,No,0.142,Small,No statistically significant difference detected
1005,1037,elderly,126,145,45.2,37.9,7.3,Chi-Square,1.198,0.2736,No,0.148,Small,No statistically significant difference detected
1005,1038,elderly,126,176,45.2,50.6,-5.3,Chi-Square,0.636,0.4253,No,-0.107,Small,No statistically significant difference detected
1005,1039,elderly,126,147,45.2,29.3,16.0,Chi-Square,6.797,0.0091,Yes,0.333,Medium,Statistically significant with moderate practical difference
1005,1040,elderly,126,131,45.2,35.9,9.4,Chi-Square,1.963,0.1612,No,0.191,Small,No statistically significant difference detected
1005,1041,elderly,126,124,45.2,57.3,-12.0,Chi-Square,3.149,0.076,No,-0.241,Medium,No statistically significant difference detected
1005,1042,elderly,126,112,45.2,62.5,-17.3,Chi-Square,6.423,0.0113,Yes,-0.348,Medium,Statistically significant with moderate practical difference
1005,1043,elderly,126,126,45.2,48.4,-3.2,Chi-Square,0.143,0.7049,No,-0.064,Small,No statistically significant difference detected
1005,1044,elderly,126,131,45.2,32.8,12.4,Chi-Square,3.658,0.0558,No,0.255,Medium,No statistically significant difference detected
1005,1045,elderly,126,151,45.2,59.6,-14.4,Chi-Square,5.128,0.0235,Yes,-0.289,Medium,Statistically significant with moderate practical difference
1005,1046,elderly,126,122,45.2,43.4,1.8,Chi-Square,0.025,0.8755,No,0.036,Small,No statistically significant difference detected
1005,1047,elderly,126,129,45.2,46.5,-1.3,Chi-Square,0.006,0.9375,No,-0.026,Small,No statistically significant difference detected
1005,1048,elderly,126,123,45.2,49.6,-4.4,Chi-Square,0.315,0.5746,No,-0.087,Small,No statistically significant difference detected
1005,1049,elderly,126,148,45.2,44.6,0.6,Chi-Square,,1.0,No,0.013,Small,No statistically significant difference detected
1005,1050,elderly,126,126,45.2,30.2,15.1,Chi-Square,5.474,0.0193,Yes,0.313,Medium,Statistically significant with moderate practical difference
1006,1007,elderly,129,131,41.1,35.9,5.2,Chi-Square,0.541,0.4621,No,0.107,Small,No statistically significant difference detected
1006,1008,elderly,129,146,41.1,41.8,-0.7,Chi-Square,,1.0,No,-0.014,Small,No statistically significant difference detected
1006,1009,elderly,129,222,41.1,50.0,-8.9,Chi-Square,2.259,0.1328,No,-0.179,Small,No statistically significant difference detected
1006,1010,elderly,129,124,41.1,62.9,-21.8,Chi-Square,11.196,0.0008,Yes,-0.44,Medium,Statistically significant with moderate practical difference
1006,1011,elderly,129,124,41.1,36.3,4.8,Chi-Square,0.427,0.5134,No,0.098,Small,No statistically significant difference detected
1006,1012,elderly,129,125,41.1,43.2,-2.1,Chi-Square,0.046,0.8304,No,-0.043,Small,No statistically significant difference detected
1006,1013,elderly,129,107,41.1,43.0,-1.9,Chi-Square,0.027,0.8707,No,-0.039,Small,No statistically significant difference detected
1006,1014,elderly,129,129,41.1,55.0,-14.0,Chi-Square,4.487,0.0341,Yes,-0.28,Medium,Statistically significant with moderate practical difference
1006,1015,elderly,129,85,41.1,24.7,16.4,Chi-Square,5.374,0.0204,Yes,0.351,Medium,Statistically significant with moderate practical difference
1006,1016,elderly,129,110,41.1,62.7,-21.6,Chi-Square,10.279,0.0013,Yes,-0.437,Medium,Statistically significant with moderate practical difference
1006,1017,elderly,129,135,41.1,51.9,-10.8,Chi-Square,2.656,0.1032,No,-0.216,Medium,No statistically significant difference detected
1006,1018,elderly,129,125,41.1,41.6,-0.5,Chi-Square,,1.0,No,-0.01,Small,No statistically significant difference detected
1006,1019,elderly,129,153,41.1,28.1,13.0,Chi-Square,4.69,0.0303,Yes,0.274,Medium,Statistically significant with moderate practical difference
1006,1020,elderly,129,119,41.1,48.7,-7.7,Chi-Square,1.173,0.2787,No,-0.154,Small,No statistically significant difference detected
1006,1021,elderly,129,125,41.1,47.2,-6.1,Chi-Square,0.731,0.3926,No,-0.123,Small,No statistically significant difference detected
1006,1022,elderly,129,126,41.1,41.3,-0.2,Chi-Square,,1.0,No,-0.004,Small,No statistically significant difference detected
1006,1023,elderly,129,114,41.1,57.0,-15.9,Chi-Square,5.529,0.0187,Yes,-0.32,Medium,Statistically significant with moderate practical difference
1006,1024,elderly,129,123,41.1,52.8,-11.8,Chi-Square,3.041,0.0812,No,-0.236,Medium,No statistically significant difference detected
1006,1025,elderly,129,136,41.1,50.0,-8.9,Chi-Square,1.776,0.1826,No,-0.179,Small,No statistically significant difference detected
1006,1026,elderly,129,125,41.1,50.4,-9.3,Chi-Square,1.86,0.1726,No,-0.187,Small,No statistically significant difference detected
1006,1027,elderly,129,118,41.1,31.4,9.7,Chi-Square,2.116,0.1457,No,0.203,Medium,No statistically significant difference detected
1006,1028,elderly,129,153,41.1,42.5,-1.4,Chi-Square,0.013,0.9077,No,-0.028,Small,No statistically significant difference detected
1006,1029,elderly,129,124,41.1,59.7,-18.6,Chi-Square,8.014,0.0046,Yes,-0.374,Medium,Statistically significant with moderate practical difference
1006,1030,elderly,129,134,41.1,52.2,-11.2,Chi-Square,2.852,0.0913,No,-0.224,Medium,No statistically significant difference detected
1006,1031,elderly,129,124,41.1,37.9,3.2,Chi-Square,0.151,0.6973,No,0.065,Small,No statistically significant difference detected
1006,1032,elderly,129,125,41.1,31.2,9.9,Chi-Square,2.275,0.1315,No,0.206,Medium,No statistically significant difference detected
1006,1033,elderly,129,121,41.1,43.0,-1.9,Chi-Square,0.03,0.8616,No,-0.038,Small,No statistically significant difference detected
1006,1034,elderly,129,116,41.1,73.3,-32.2,Chi-Square,24.436,0.0,Yes,-0.663,Large,Statistically significant with large practical difference
1006,1035,elderly,129,125,41.1,53.6,-12.5,Chi-Square,3.503,0.0613,No,-0.251,Medium,No statistically significant difference detected
1006,1036,elderly,129,136,41.1,38.2,2.8,Chi-Square,0.121,0.7275,No,0.058,Small,No statistically significant difference detected
1006,1037,elderly,129,145,41.1,37.9,3.2,Chi-Square,0.168,0.6822,No,0.065,Small,No statistically significant difference detected
1006,1038,elderly,129,176,41.1,50.6,-9.5,Chi-Square,2.323,0.1275,No,-0.191,Small,No statistically significant difference detected
1006,1039,elderly,129,147,41.1,29.3,11.8,Chi-Square,3.736,0.0533,No,0.249,Medium,No statistically significant difference detected
1006,1040,elderly,129,131,41.1,35.9,5.2,Chi-Square,0.541,0.4621,No,0.107,Small,No statistically significant difference detected
1006,1041,elderly,129,124,41.1,57.3,-16.2,Chi-Square,5.986,0.0144,Yes,-0.325,Medium,Statistically significant with moderate practical difference
1006,1042,elderly,129,112,41.1,62.5,-21.4,Chi-Square,10.162,0.0014,Yes,-0.432,Medium,Statistically significant with moderate practical difference
1006,1043,elderly,129,126,41.1,48.4,-7.3,Chi-Square,1.104,0.2934,No,-0.148,Small,No statistically significant difference detected
1006,1044,elderly,129,131,41.1,32.8,8.3,Chi-Square,1.566,0.2108,No,0.171,Small,No statistically significant difference detected
1006,1045,elderly,129,151,41.1,59.6,-18.5,Chi-Square,8.819,0.003,Yes,-0.373,Medium,Statistically significant with moderate practical difference
1006,1046,elderly,129,122,41.1,43.4,-2.4,Chi-Square,0.063,0.8025,No,-0.048,Small,No statistically significant difference detected
1006,1047,elderly,129,129,41.1,46.5,-5.4,Chi-Square,0.567,0.4515,No,-0.109,Small,No statistically significant difference detected
1006,1048,elderly,129,123,41.1,49.6,-8.5,Chi-Square,1.512,0.2188,No,-0.171,Small,No statistically significant difference detected
1006,1049,elderly,129,148,41.1,44.6,-3.5,Chi-Square,0.218,0.6406,No,-0.071,Small,No statistically significant difference detected
1006,1050,elderly,129,126,41.1,30.2,10.9,Chi-Square,2.857,0.091,No,0.229,Medium,No statistically significant difference detected
1007,1008,elderly,131,146,35.9,41.8,-5.9,Chi-Square,0.778,0.3776,No,-0.121,Small,No statistically significant difference detected
1007,1009,elderly,131,222,35.9,50.0,-14.1,Chi-Square,6.086,0.0136,Yes,-0.286,Medium,Statistically significant with moderate practical difference
1007,1010,elderly,131,124,35.9,62.9,-27.0,Chi-Square,17.552,0.0,Yes,-0.547,Large,Statistically significant with large practical difference
1007,1011,elderly,131,124,35.9,36.3,-0.4,Chi-Square,,1.0,No,-0.009,Small,No statistically significant difference detected
1007,1012,elderly,131,125,35.9,43.2,-7.3,Chi-Square,1.145,0.2845,No,-0.15,Small,No statistically significant difference detected
1007,1013,elderly,131,107,35.9,43.0,-7.1,Chi-Square,0.971,0.3245,No,-0.146,Small,No statistically significant difference detected
1007,1014,elderly,131,129,35.9,55.0,-19.2,Chi-Square,8.87,0.0029,Yes,-0.387,Medium,Statistically significant with moderate practical difference
1007,1015,elderly,131,85,35.9,24.7,11.2,Chi-Square,2.487,0.1148,No,0.244,Medium,No statistically significant difference detected
1007,1016,elderly,131,110,35.9,62.7,-26.8,Chi-Square,16.207,0.0001,Yes,-0.544,Large,Statistically significant with large practical difference
1007,1017,elderly,131,135,35.9,51.9,-16.0,Chi-Square,6.253,0.0124,Yes,-0.323,Medium,Statistically significant with moderate practical difference
1007,1018,elderly,131,125,35.9,41.6,-5.7,Chi-Square,0.658,0.4172,No,-0.118,Small,No statistically significant difference detected
1007,1019,elderly,131,153,35.9,28.1,7.8,Chi-Square,1.627,0.2021,No,0.167,Small,No statistically significant difference detected
1007,1020,elderly,131,119,35.9,48.7,-12.9,Chi-Square,3.723,0.0537,No,-0.261,Medium,No statistically significant difference detected
1007,1021,elderly,131,125,35.9,47.2,-11.3,Chi-Square,2.929,0.087,No,-0.23,Medium,No statistically significant difference detected
1007,1022,elderly,131,126,35.9,41.3,-5.4,Chi-Square,0.577,0.4474,No,-0.111,Small,No statistically significant difference detected
1007,1023,elderly,131,114,35.9,57.0,-21.1,Chi-Square,10.141,0.0014,Yes,-0.427,Medium,Statistically significant with moderate practical difference
1007,1024,elderly,131,123,35.9,52.8,-17.0,Chi-Square,6.736,0.0094,Yes,-0.343,Medium,Statistically significant with moderate practical difference
1007,1025,elderly,131,136,35.9,50.0,-14.1,Chi-Square,4.867,0.0274,Yes,-0.286,Medium,Statistically significant with moderate practical difference
1007,1026,elderly,131,125,35.9,50.4,-14.5,Chi-Square,4.928,0.0264,Yes,-0.294,Medium,Statistically significant with moderate practical difference
1007,1027,elderly,131,118,35.9,31.4,4.5,Chi-Square,0.384,0.5357,No,0.096,Small,No statistically significant difference detected
1007,1028,elderly,131,153,35.9,42.5,-6.6,Chi-Square,1.028,0.3107,No,-0.135,Small,No statistically significant difference detected
1007,1029,elderly,131,124,35.9,59.7,-23.8,Chi-Square,13.532,0.0002,Yes,-0.481,Medium,Statistically significant with moderate practical difference
1007,1030,elderly,131,134,35.9,52.2,-16.4,Chi-Square,6.543,0.0105,Yes,-0.331,Medium,Statistically significant with moderate practical difference
1007,1031,elderly,131,124,35.9,37.9,-2.0,Chi-Square,0.042,0.8374,No,-0.042,Small,No statistically significant difference detected
1007,1032,elderly,131,125,35.9,31.2,4.7,Chi-Square,0.435,0.5094,No,0.099,Small,No statistically significant difference detected
1007,1033,elderly,131,121,35.9,43.0,-7.1,Chi-Square,1.047,0.3061,No,-0.145,Small,No statistically significant difference detected
1007,1034,elderly,131,116,35.9,73.3,-37.4,Chi-Square,33.095,0.0,Yes,-0.771,Large,Statistically significant with large practical difference
1007,1035,elderly,131,125,35.9,53.6,-17.7,Chi-Square,7.432,0.0064,Yes,-0.358,Medium,Statistically significant with moderate practical difference
1007,1036,elderly,131,136,35.9,38.2,-2.4,Chi-Square,0.074,0.7857,No,-0.049,Small,No statistically significant difference detected
1007,1037,elderly,131,145,35.9,37.9,-2.1,Chi-Square,0.052,0.8196,No,-0.043,Small,No statistically significant difference detected
1007,1038,elderly,131,176,35.9,50.6,-14.7,Chi-Square,5.986,0.0144,Yes,-0.298,Medium,Statistically significant with moderate practical difference
1007,1039,elderly,131,147,35.9,29.3,6.6,Chi-Square,1.103,0.2936,No,0.142,Small,No statistically significant difference detected
1007,1040,elderly,131,131,35.9,35.9,0.0,Chi-Square,,1.0,No,0.0,Small,No statistically significant difference detected
1007,1041,elderly,131,124,35.9,57.3,-21.4,Chi-Square,10.868,0.001,Yes,-0.432,Medium,Statistically significant with moderate practical difference
1007,1042,elderly,131,112,35.9,62.5,-26.6,Chi-Square,16.091,0.0001,Yes,-0.539,Large,Statistically significant with large practical difference
1007,1043,elderly,131,126,35.9,48.4,-12.5,Chi-Square,3.643,0.0563,No,-0.255,Medium,No statistically significant difference detected
1007,1044,elderly,131,131,35.9,32.8,3.1,Chi-Square,0.152,0.6963,No,0.064,Small,No statistically significant difference detected
1007,1045,elderly,131,151,35.9,59.6,-23.7,Chi-Square,14.87,0.0001,Yes,-0.48,Medium,Statistically significant with moderate practical difference
1007,1046,elderly,131,122,35.9,43.4,-7.6,Chi-Square,1.212,0.2709,No,-0.155,Small,No statistically significant difference detected
1007,1047,elderly,131,129,35.9,46.5,-10.6,Chi-Square,2.612,0.1061,No,-0.217,Medium,No statistically significant difference detected
1007,1048,elderly,131,123,35.9,49.6,-13.7,Chi-Square,4.338,0.0373,Yes,-0.278,Medium,Statistically significant with moderate practical difference
1007,1049,elderly,131,148,35.9,44.6,-8.7,Chi-Square,1.844,0.1744,No,-0.178,Small,No statistically significant difference detected
1007,1050,elderly,131,126,35.9,30.2,5.7,Chi-Square,0.708,0.4,No,0.122,Small,No statistically significant difference detected
1008,1009,elderly,146,222,41.8,50.0,-8.2,Chi-Square,2.071,0.1501,No,-0.165,Small,No statistically significant difference detected
1008,1010,elderly,146,124,41.8,62.9,-21.1,Chi-Square,11.146,0.0008,Yes,-0.426,Medium,Statistically significant with moderate practical difference
1008,1011,elderly,146,124,41.8,36.3,5.5,Chi-Square,0.633,0.4262,No,0.113,Small,No statistically significant difference detected
1008,1012,elderly,146,125,41.8,43.2,-1.4,Chi-Square,0.013,0.9105,No,-0.029,Small,No statistically significant difference detected
1008,1013,elderly,146,107,41.8,43.0,-1.2,Chi-Square,0.004,0.9493,No,-0.024,Small,No statistically significant difference detected
1008,1014,elderly,146,129,41.8,55.0,-13.3,Chi-Square,4.306,0.038,Yes,-0.266,Medium,Statistically significant with moderate practical difference
1008,1015,elderly,146,85,41.8,24.7,17.1,Chi-Square,6.115,0.0134,Yes,0.365,Medium,Statistically significant with moderate practical difference
1008,1016,elderly,146,110,41.8,62.7,-20.9,Chi-Square,10.191,0.0014,Yes,-0.423,Medium,Statistically significant with moderate practical difference
1008,1017,elderly,146,135,41.8,51.9,-10.1,Chi-Square,2.468,0.1162,No,-0.202,Medium,No statistically significant difference detected
1008,1018,elderly,146,125,41.8,41.6,0.2,Chi-Square,,1.0,No,0.004,Small,No statistically significant difference detected
1008,1019,elderly,146,153,41.8,28.1,13.7,Chi-Square,5.572,0.0183,Yes,0.288,Medium,Statistically significant with moderate practical difference
1008,1020,elderly,146,119,41.8,48.7,-7.0,Chi-Square,1.017,0.3131,No,-0.14,Small,No statistically significant difference detected
1008,1021,elderly,146,125,41.8,47.2,-5.4,Chi-Square,0.597,0.4397,No,-0.109,Small,No statistically significant difference detected
1008,1022,elderly,146,126,41.8,41.3,0.5,Chi-Square,,1.0,No,0.01,Small,No statistically significant difference detected
1008,1023,elderly,146,114,41.8,57.0,-15.2,Chi-Square,5.356,0.0207,Yes,-0.306,Medium,Statistically significant with moderate practical difference
1008,1024,elderly,146,123,41.8,52.8,-11.1,Chi-Square,2.853,0.0912,No,-0.222,Medium,No statistically significant difference detected
1008,1025,elderly,146,136,41.8,50.0,-8.2,Chi-Square,1.6,0.2059,No,-0.165,Small,No statistically significant difference detected
1008,1026,elderly,146,125,41.8,50.4,-8.6,Chi-Square,1.683,0.1945,No,-0.173,Small,No statistically significant difference detected
1008,1027,elderly,146,118,41.8,31.4,10.4,Chi-Square,2.608,0.1063,No,0.217,Medium,No statistically significant difference detected
1008,1028,elderly,146,153,41.8,42.5,-0.7,Chi-Square,0.0,0.9953,No,-0.014,Small,No statistically significant difference detected
1008,1029,elderly,146,124,41.8,59.7,-17.9,Chi-Square,7.889,0.005,Yes,-0.36,Medium,Statistically significant with moderate practical difference
1008,1030,elderly,146,134,41.8,52.2,-10.5,Chi-Square,2.664,0.1027,No,-0.21,Medium,No statistically significant difference detected
1008,1031,elderly,146,124,41.8,37.9,3.9,Chi-Square,0.274,0.6006,No,0.079,Small,No statistically significant difference detected
1008,1032,elderly,146,125,41.8,31.2,10.6,Chi-Square,2.8,0.0943,No,0.22,Medium,No statistically significant difference detected
1008,1033,elderly,146,121,41.8,43.0,-1.2,Chi-Square,0.005,0.9424,No,-0.024,Small,No statistically significant difference detected
1008,1034,elderly,146,116,41.8,73.3,-31.5,Chi-Square,24.728,0.0,Yes,-0.649,Large,Statistically significant with large practical difference
1008,1035,elderly,146,125,41.8,53.6,-11.8,Chi-Square,3.315,0.0686,No,-0.237,Medium,No statistically significant difference detected
1008,1036,elderly,146,136,41.8,38.2,3.5,Chi-Square,0.236,0.6273,No,0.072,Small,No statistically significant difference detected
1008,1037,elderly,146,145,41.8,37.9,3.8,Chi-Square,0.304,0.5817,No,0.079,Small,No statistically significant difference detected
1008,1038,elderly,146,176,41.8,50.6,-8.8,Chi-Square,2.136,0.1439,No,-0.176,Small,No statistically significant difference detected
1008,1039,elderly,146,147,41.8,29.3,12.5,Chi-Square,4.49,0.0341,Yes,0.263,Medium,Statistically significant with moderate practical difference
1008,1040,elderly,146,131,41.8,35.9,5.9,Chi-Square,0.778,0.3776,No,0.121,Small,No statistically significant difference detected
1008,1041,elderly,146,124,41.8,57.3,-15.5,Chi-Square,5.823,0.0158,Yes,-0.311,Medium,Statistically significant with moderate practical difference
1008,1042,elderly,146,112,41.8,62.5,-20.7,Chi-Square,10.073,0.0015,Yes,-0.418,Medium,Statistically significant with moderate practical difference
1008,1043,elderly,146,126,41.8,48.4,-6.6,Chi-Square,0.949,0.3299,No,-0.133,Small,No statistically significant difference detected
1008,1044,elderly,146,131,41.8,32.8,9.0,Chi-Square,1.996,0.1578,No,0.186,Small,No statistically significant difference detected
1008,1045,elderly,146,151,41.8,59.6,-17.8,Chi-Square,8.734,0.0031,Yes,-0.358,Medium,Statistically significant with moderate practical difference
1008,1046,elderly,146,122,41.8,43.4,-1.7,Chi-Square,0.022,0.8808,No,-0.034,Small,No statistically significant difference detected
1008,1047,elderly,146,129,41.8,46.5,-4.7,Chi-Square,0.445,0.5048,No,-0.095,Small,No statistically significant difference detected
1008,1048,elderly,146,123,41.8,49.6,-7.8,Chi-Square,1.344,0.2463,No,-0.157,Small,No statistically significant difference detected
1008,1049,elderly,146,148,41.8,44.6,-2.8,Chi-Square,0.136,0.7119,No,-0.057,Small,No statistically significant difference detected
1008,1050,elderly,146,126,41.8,30.2,11.6,Chi-Square,3.46,0.0629,No,0.243,Medium,No statistically significant difference detected
1009,1010,elderly,222,124,50.0,62.9,-12.9,Chi-Square,4.836,0.0279,Yes,-0.261,Medium,Statistically significant with moderate practical difference
1009,1011,elderly,222,124,50.0,36.3,13.7,Chi-Square,5.499,0.019,Yes,0.278,Medium,Statistically significant with moderate practical difference
1009,1012,elderly,222,125,50.0,43.2,6.8,Chi-Square,1.223,0.2689,No,0.136,Small,No statistically significant difference detected
1009,1013,elderly,222,107,50.0,43.0,7.0,Chi-Square,1.155,0.2825,No,0.141,Small,No statistically significant difference detected
1009,1014,elderly,222,129,50.0,55.0,-5.0,Chi-Square,0.64,0.4236,No,-0.101,Small,No statistically significant difference detected
1009,1015,elderly,222,85,50.0,24.7,25.3,Chi-Square,15.029,0.0001,Yes,0.53,Large,Statistically significant with large practical difference
1009,1016,elderly,222,110,50.0,62.7,-12.7,Chi-Square,4.301,0.0381,Yes,-0.257,Medium,Statistically significant with moderate practical difference
1009,1017,elderly,222,135,50.0,51.9,-1.9,Chi-Square,0.053,0.8179,No,-0.037,Small,No statistically significant difference detected
1009,1018,elderly,222,125,50.0,41.6,8.4,Chi-Square,1.941,0.1636,No,0.169,Small,No statistically significant difference detected
1009,1019,elderly,222,153,50.0,28.1,21.9,Chi-Square,17.049,0.0,Yes,0.453,Medium,Statistically significant with moderate practical difference
1009,1020,elderly,222,119,50.0,48.7,1.3,Chi-Square,0.012,0.9138,No,0.025,Small,No statistically significant difference detected
1009,1021,elderly,222,125,50.0,47.2,2.8,Chi-Square,0.151,0.6972,No,0.056,Small,No statistically significant difference detected
1009,1022,elderly,222,126,50.0,41.3,8.7,Chi-Square,2.122,0.1452,No,0.176,Small,No statistically significant difference detected
1009,1023,elderly,222,114,50.0,57.0,-7.0,Chi-Square,1.219,0.2695,No,-0.141,Small,No statistically significant difference detected
1009,1024,elderly,222,123,50.0,52.8,-2.8,Chi-Square,0.155,0.6936,No,-0.057,Small,No statistically significant difference detected
1009,1025,elderly,222,136,50.0,50.0,0.0,Chi-Square,,1.0,No,0.0,Small,No statistically significant difference detected
1009,1026,elderly,222,125,50.0,50.4,-0.4,Chi-Square,,1.0,No,-0.008,Small,No statistically significant difference detected
1009,1027,elderly,222,118,50.0,31.4,18.6,Chi-Square,10.15,0.0014,Yes,0.382,Medium,Statistically significant with moderate practical difference
1009,1028,elderly,222,153,50.0,42.5,7.5,Chi-Square,1.764,0.1841,No,0.151,Small,No statistically significant difference detected
1009,1029,elderly,222,124,50.0,59.7,-9.7,Chi-Square,2.618,0.1056,No,-0.195,Small,No statistically significant difference detected
1009,1030,elderly,222,134,50.0,52.2,-2.2,Chi-Square,0.09,0.7642,No,-0.045,Small,No statistically significant difference detected
1009,1031,elderly,222,124,50.0,37.9,12.1,Chi-Square,4.217,0.04,Yes,0.244,Medium,Statistically significant with moderate practical difference
1009,1032,elderly,222,125,50.0,31.2,18.8,Chi-Square,10.764,0.001,Yes,0.385,Medium,Statistically significant with moderate practical difference
1009,1033,elderly,222,121,50.0,43.0,7.0,Chi-Square,1.281,0.2578,No,0.141,Small,No statistically significant difference detected
1009,1034,elderly,222,116,50.0,73.3,-23.3,Chi-Square,16.001,0.0001,Yes,-0.484,Medium,Statistically significant with moderate practical difference
1009,1035,elderly,222,125,50.0,53.6,-3.6,Chi-Square,0.283,0.5946,No,-0.072,Small,No statistically significant difference detected
1009,1036,elderly,222,136,50.0,38.2,11.8,Chi-Square,4.244,0.0394,Yes,0.238,Medium,Statistically significant with moderate practical difference
1009,1037,elderly,222,145,50.0,37.9,12.1,Chi-Square,4.682,0.0305,Yes,0.244,Medium,Statistically significant with moderate practical difference
1009,1038,elderly,222,176,50.0,50.6,-0.6,Chi-Square,0.0,0.9907,No,-0.011,Small,No statistically significant difference detected
1009,1039,elderly,222,147,50.0,29.3,20.7,Chi-Square,14.815,0.0001,Yes,0.428,Medium,Statistically significant with moderate practical difference
1009,1040,elderly,222,131,50.0,35.9,14.1,Chi-Square,6.086,0.0136,Yes,0.286,Medium,Statistically significant with moderate practical difference
1009,1041,elderly,222,124,50.0,57.3,-7.3,Chi-Square,1.403,0.2363,No,-0.146,Small,No statistically significant difference detected
1009,1042,elderly,222,112,50.0,62.5,-12.5,Chi-Square,4.196,0.0405,Yes,-0.253,Medium,Statistically significant with moderate practical difference
1009,1043,elderly,222,126,50.0,48.4,1.6,Chi-Square,0.03,0.8626,No,0.032,Small,No statistically significant difference detected
1009,1044,elderly,222,131,50.0,32.8,17.2,Chi-Square,9.196,0.0024,Yes,0.351,Medium,Statistically significant with moderate practical difference
1009,1045,elderly,222,151,50.0,59.6,-9.6,Chi-Square,2.96,0.0854,No,-0.193,Small,No statistically significant difference detected
1009,1046,elderly,222,122,50.0,43.4,6.6,Chi-Square,1.107,0.2927,No,0.132,Small,No statistically significant difference detected
1009,1047,elderly,222,129,50.0,46.5,3.5,Chi-Square,0.27,0.6033,No,0.07,Small,No statistically significant difference detected
1009,1048,elderly,222,123,50.0,49.6,0.4,Chi-Square,,1.0,No,0.008,Small,No statistically significant difference detected
1009,1049,elderly,222,148,50.0,44.6,5.4,Chi-Square,0.834,0.361,No,0.108,Small,No statistically significant difference detected
1009,1050,elderly,222,126,50.0,30.2,19.8,Chi-Square,12.126,0.0005,Yes,0.408,Medium,Statistically significant with moderate practical difference
1010,1011,elderly,124,124,62.9,36.3,26.6,Chi-Square,16.517,0.0,Yes,0.539,Large,Statistically significant with large practical difference
1010,1012,elderly,124,125,62.9,43.2,19.7,Chi-Square,8.927,0.0028,Yes,0.397,Medium,Statistically significant with moderate practical difference
1010,1013,elderly,124,107,62.9,43.0,19.9,Chi-Square,8.376,0.0038,Yes,0.402,Medium,Statistically significant with moderate practical difference
1010,1014,elderly,124,129,62.9,55.0,7.9,Chi-Square,1.307,0.253,No,0.16,Small,No statistically significant difference detected
1010,1015,elderly,124,85,62.9,24.7,38.2,Chi-Square,28.002,0.0,Yes,0.791,Large,Statistically significant with large practical difference
1010,1016,elderly,124,110,62.9,62.7,0.2,Chi-Square,,1.0,No,0.004,Small,No statistically significant difference detected
1010,1017,elderly,124,135,62.9,51.9,11.1,Chi-Square,2.788,0.095,No,0.224,Medium,No statistically significant difference detected
1010,1018,elderly,124,125,62.9,41.6,21.3,Chi-Square,10.485,0.0012,Yes,0.43,Medium,Statistically significant with moderate practical difference
1010,1019,elderly,124,153,62.9,28.1,34.8,Chi-Square,32.314,0.0,Yes,0.714,Large,Statistically significant with large practical difference
1010,1020,elderly,124,119,62.9,48.7,14.2,Chi-Square,4.385,0.0363,Yes,0.286,Medium,Statistically significant with moderate practical difference
1010,1021,elderly,124,125,62.9,47.2,15.7,Chi-Square,5.584,0.0181,Yes,0.317,Medium,Statistically significant with moderate practical difference
1010,1022,elderly,124,126,62.9,41.3,21.6,Chi-Square,10.867,0.001,Yes,0.437,Medium,Statistically significant with moderate practical difference
1010,1023,elderly,124,114,62.9,57.0,5.9,Chi-Square,0.63,0.4273,No,0.12,Small,No statistically significant difference detected
1010,1024,elderly,124,123,62.9,52.8,10.1,Chi-Square,2.166,0.1411,No,0.204,Medium,No statistically significant difference detected
1010,1025,elderly,124,136,62.9,50.0,12.9,Chi-Square,3.878,0.0489,Yes,0.261,Medium,Statistically significant with moderate practical difference
1010,1026,elderly,124,125,62.9,50.4,12.5,Chi-Square,3.469,0.0625,No,0.253,Medium,No statistically significant difference detected
1010,1027,elderly,124,118,62.9,31.4,31.5,Chi-Square,22.881,0.0,Yes,0.643,Large,Statistically significant with large practical difference
1010,1028,elderly,124,153,62.9,42.5,20.4,Chi-Square,10.632,0.0011,Yes,0.412,Medium,Statistically significant with moderate practical difference
1010,1029,elderly,124,124,62.9,59.7,3.2,Chi-Square,0.153,0.6957,No,0.066,Small,No statistically significant difference detected
1010,1030,elderly,124,134,62.9,52.2,10.7,Chi-Square,2.575,0.1086,No,0.216,Medium,No statistically significant difference detected
1010,1031,elderly,124,124,62.9,37.9,25.0,Chi-Square,14.517,0.0001,Yes,0.505,Large,Statistically significant with large practical difference
