outcome_variable,outcome_label,outcome_value,stratify_variable,stratify_label,stratify_group,count,mean,std,median,min,max,percentage,group_total
psychological_violence,Experienced psychological violence (past 12 months),0,gender,Gender,Other,21.0,,,,,,72.41379310344827,29.0
psychological_violence,Experienced psychological violence (past 12 months),1,gender,Gender,Other,8.0,,,,,,27.586206896551722,29.0
food_insecurity_1,Food insecurity (reduced meals),0,age_group,Age Group,15-29,47.0,,,,,,75.80645161290323,62.0
food_insecurity_1,Food insecurity (reduced meals),1,age_group,Age Group,15-29,15.0,,,,,,24.193548387096776,62.0
food_insecurity_1,Food insecurity (reduced meals),0,age_group,Age Group,30-44,79.0,,,,,,85.86956521739131,92.0
food_insecurity_1,Food insecurity (reduced meals),1,age_group,Age Group,30-44,13.0,,,,,,14.130434782608695,92.0
food_insecurity_1,Food insecurity (reduced meals),0,age_group,Age Group,45-59,90.0,,,,,,89.10891089108911,101.0
food_insecurity_1,Food insecurity (reduced meals),1,age_group,Age Group,45-59,11.0,,,,,,10.891089108910892,101.0
food_insecurity_1,Food insecurity (reduced meals),0,age_group,Age Group,60+,347.0,,,,,,92.04244031830238,377.0
food_insecurity_1,Food insecurity (reduced meals),1,age_group,Age Group,60+,30.0,,,,,,7.957559681697612,377.0
food_insecurity_1,Food insecurity (reduced meals),0,work_hours_group,Work Hours,<8 hrs,100.0,,,,,,90.9090909090909,110.0
food_insecurity_1,Food insecurity (reduced meals),1,work_hours_group,Work Hours,<8 hrs,10.0,,,,,,9.090909090909092,110.0
food_insecurity_1,Food insecurity (reduced meals),0,work_hours_group,Work Hours,8-10 hrs,33.0,,,,,,86.8421052631579,38.0
food_insecurity_1,Food insecurity (reduced meals),1,work_hours_group,Work Hours,8-10 hrs,5.0,,,,,,13.157894736842104,38.0
food_insecurity_1,Food insecurity (reduced meals),0,work_hours_group,Work Hours,>10 hrs,14.0,,,,,,70.0,20.0
food_insecurity_1,Food insecurity (reduced meals),1,work_hours_group,Work Hours,>10 hrs,6.0,,,,,,30.0,20.0
food_insecurity_1,Food insecurity (reduced meals),0,homeowner,Home Ownership,Other,234.0,,,,,,89.65517241379311,261.0
food_insecurity_1,Food insecurity (reduced meals),1,homeowner,Home Ownership,Other,27.0,,,,,,10.344827586206897,261.0
food_insecurity_1,Food insecurity (reduced meals),0,homeowner,Home Ownership,Owner,183.0,,,,,,94.81865284974094,193.0
food_insecurity_1,Food insecurity (reduced meals),1,homeowner,Home Ownership,Owner,10.0,,,,,,5.181347150259067,193.0
food_insecurity_1,Food insecurity (reduced meals),0,homeowner,Home Ownership,Renter,152.0,,,,,,82.6086956521739,184.0
food_insecurity_1,Food insecurity (reduced meals),1,homeowner,Home Ownership,Renter,32.0,,,,,,17.391304347826086,184.0
food_insecurity_2,Food insecurity (skip full day),0,homeowner,Home Ownership,Other,243.0,,,,,,93.10344827586206,261.0
food_insecurity_2,Food insecurity (skip full day),1,homeowner,Home Ownership,Other,18.0,,,,,,6.896551724137931,261.0
food_insecurity_2,Food insecurity (skip full day),0,homeowner,Home Ownership,Owner,188.0,,,,,,97.40932642487047,193.0
food_insecurity_2,Food insecurity (skip full day),1,homeowner,Home Ownership,Owner,5.0,,,,,,2.5906735751295336,193.0
food_insecurity_2,Food insecurity (skip full day),0,homeowner,Home Ownership,Renter,160.0,,,,,,86.95652173913044,184.0
food_insecurity_2,Food insecurity (skip full day),1,homeowner,Home Ownership,Renter,24.0,,,,,,13.043478260869565,184.0
family_status,Lives with family,0,age_group,Age Group,15-29,17.0,,,,,,27.419354838709676,62.0
family_status,Lives with family,1,age_group,Age Group,15-29,45.0,,,,,,72.58064516129032,62.0
family_status,Lives with family,0,age_group,Age Group,30-44,13.0,,,,,,14.130434782608695,92.0
family_status,Lives with family,1,age_group,Age Group,30-44,79.0,,,,,,85.86956521739131,92.0
family_status,Lives with family,0,age_group,Age Group,45-59,9.0,,,,,,8.91089108910891,101.0
family_status,Lives with family,1,age_group,Age Group,45-59,92.0,,,,,,91.0891089108911,101.0
family_status,Lives with family,0,age_group,Age Group,60+,43.0,,,,,,11.405835543766578,377.0
family_status,Lives with family,1,age_group,Age Group,60+,334.0,,,,,,88.59416445623343,377.0
read,Can read Thai,0,homeowner,Home Ownership,Other,50.0,,,,,,19.157088122605366,261.0
read,Can read Thai,1,homeowner,Home Ownership,Other,211.0,,,,,,80.84291187739464,261.0
read,Can read Thai,0,homeowner,Home Ownership,Owner,18.0,,,,,,9.32642487046632,193.0
read,Can read Thai,1,homeowner,Home Ownership,Owner,175.0,,,,,,90.67357512953367,193.0
read,Can read Thai,0,homeowner,Home Ownership,Renter,24.0,,,,,,13.043478260869565,184.0
read,Can read Thai,1,homeowner,Home Ownership,Renter,160.0,,,,,,86.95652173913044,184.0
read,Can read Thai,0,can_work,Can Work (if disabled),0.0,85.0,,,,,,20.581113801452787,413.0
read,Can read Thai,1,can_work,Can Work (if disabled),0.0,328.0,,,,,,79.41888619854721,413.0
read,Can read Thai,0,can_work,Can Work (if disabled),1.0,7.0,,,,,,3.111111111111111,225.0
read,Can read Thai,1,can_work,Can Work (if disabled),1.0,218.0,,,,,,96.88888888888889,225.0
write,Can write Thai,0,education_group,Education Level,Low,102.0,,,,,,29.394812680115272,347.0
write,Can write Thai,1,education_group,Education Level,Low,245.0,,,,,,70.60518731988472,347.0
write,Can write Thai,0,education_group,Education Level,Middle,12.0,,,,,,9.523809523809524,126.0
write,Can write Thai,1,education_group,Education Level,Middle,114.0,,,,,,90.47619047619048,126.0
write,Can write Thai,0,education_group,Education Level,High,7.0,,,,,,4.242424242424243,165.0
write,Can write Thai,1,education_group,Education Level,High,158.0,,,,,,95.75757575757575,165.0
write,Can write Thai,0,homeowner,Home Ownership,Other,68.0,,,,,,26.053639846743295,261.0
write,Can write Thai,1,homeowner,Home Ownership,Other,193.0,,,,,,73.9463601532567,261.0
write,Can write Thai,0,homeowner,Home Ownership,Owner,23.0,,,,,,11.917098445595855,193.0
write,Can write Thai,1,homeowner,Home Ownership,Owner,170.0,,,,,,88.08290155440415,193.0
write,Can write Thai,0,homeowner,Home Ownership,Renter,30.0,,,,,,16.304347826086957,184.0
write,Can write Thai,1,homeowner,Home Ownership,Renter,154.0,,,,,,83.69565217391305,184.0
write,Can write Thai,0,can_work,Can Work (if disabled),0.0,112.0,,,,,,27.11864406779661,413.0
write,Can write Thai,1,can_work,Can Work (if disabled),0.0,301.0,,,,,,72.88135593220339,413.0
write,Can write Thai,0,can_work,Can Work (if disabled),1.0,9.0,,,,,,4.0,225.0
write,Can write Thai,1,can_work,Can Work (if disabled),1.0,216.0,,,,,,96.0,225.0
math,Can do basic math,0,education_group,Education Level,Low,105.0,,,,,,30.25936599423631,347.0
math,Can do basic math,1,education_group,Education Level,Low,242.0,,,,,,69.7406340057637,347.0
math,Can do basic math,0,education_group,Education Level,Middle,10.0,,,,,,7.936507936507936,126.0
math,Can do basic math,1,education_group,Education Level,Middle,116.0,,,,,,92.06349206349206,126.0
math,Can do basic math,0,education_group,Education Level,High,9.0,,,,,,5.454545454545454,165.0
math,Can do basic math,1,education_group,Education Level,High,156.0,,,,,,94.54545454545455,165.0
math,Can do basic math,0,homeowner,Home Ownership,Other,73.0,,,,,,27.969348659003828,261.0
math,Can do basic math,1,homeowner,Home Ownership,Other,188.0,,,,,,72.03065134099617,261.0
math,Can do basic math,0,homeowner,Home Ownership,Owner,25.0,,,,,,12.953367875647666,193.0
math,Can do basic math,1,homeowner,Home Ownership,Owner,168.0,,,,,,87.04663212435233,193.0
math,Can do basic math,0,homeowner,Home Ownership,Renter,26.0,,,,,,14.130434782608695,184.0
math,Can do basic math,1,homeowner,Home Ownership,Renter,158.0,,,,,,85.86956521739131,184.0
math,Can do basic math,0,can_work,Can Work (if disabled),0.0,113.0,,,,,,27.36077481840194,413.0
math,Can do basic math,1,can_work,Can Work (if disabled),0.0,300.0,,,,,,72.63922518159806,413.0
math,Can do basic math,0,can_work,Can Work (if disabled),1.0,11.0,,,,,,4.888888888888889,225.0
math,Can do basic math,1,can_work,Can Work (if disabled),1.0,214.0,,,,,,95.11111111111111,225.0
training,Participated in training (past 12 months),0,age_group,Age Group,15-29,44.0,,,,,,70.96774193548387,62.0
training,Participated in training (past 12 months),1,age_group,Age Group,15-29,18.0,,,,,,29.03225806451613,62.0
training,Participated in training (past 12 months),0,age_group,Age Group,30-44,74.0,,,,,,80.43478260869566,92.0
training,Participated in training (past 12 months),1,age_group,Age Group,30-44,18.0,,,,,,19.565217391304348,92.0
training,Participated in training (past 12 months),0,age_group,Age Group,45-59,94.0,,,,,,93.06930693069307,101.0
training,Participated in training (past 12 months),1,age_group,Age Group,45-59,7.0,,,,,,6.9306930693069315,101.0
training,Participated in training (past 12 months),0,age_group,Age Group,60+,358.0,,,,,,94.9602122015915,377.0
training,Participated in training (past 12 months),1,age_group,Age Group,60+,19.0,,,,,,5.039787798408488,377.0
training,Participated in training (past 12 months),0,education_group,Education Level,Low,333.0,,,,,,95.96541786743515,347.0
training,Participated in training (past 12 months),1,education_group,Education Level,Low,14.0,,,,,,4.034582132564841,347.0
training,Participated in training (past 12 months),0,education_group,Education Level,Middle,110.0,,,,,,87.3015873015873,126.0
training,Participated in training (past 12 months),1,education_group,Education Level,Middle,16.0,,,,,,12.698412698412698,126.0
training,Participated in training (past 12 months),0,education_group,Education Level,High,133.0,,,,,,80.60606060606061,165.0
training,Participated in training (past 12 months),1,education_group,Education Level,High,32.0,,,,,,19.393939393939394,165.0
training,Participated in training (past 12 months),0,homeowner,Home Ownership,Other,248.0,,,,,,95.01915708812261,261.0
training,Participated in training (past 12 months),1,homeowner,Home Ownership,Other,13.0,,,,,,4.980842911877394,261.0
training,Participated in training (past 12 months),0,homeowner,Home Ownership,Owner,173.0,,,,,,89.63730569948186,193.0
training,Participated in training (past 12 months),1,homeowner,Home Ownership,Owner,20.0,,,,,,10.362694300518134,193.0
training,Participated in training (past 12 months),0,homeowner,Home Ownership,Renter,155.0,,,,,,84.23913043478261,184.0
training,Participated in training (past 12 months),1,homeowner,Home Ownership,Renter,29.0,,,,,,15.760869565217392,184.0
training,Participated in training (past 12 months),0,has_children,Has Children (<5),0,526.0,,,,,,91.16117850953206,577.0
training,Participated in training (past 12 months),1,has_children,Has Children (<5),0,51.0,,,,,,8.838821490467938,577.0
training,Participated in training (past 12 months),0,has_children,Has Children (<5),1,50.0,,,,,,81.9672131147541,61.0
training,Participated in training (past 12 months),1,has_children,Has Children (<5),1,11.0,,,,,,18.0327868852459,61.0
training,Participated in training (past 12 months),0,can_work,Can Work (if disabled),0.0,395.0,,,,,,95.64164648910412,413.0
training,Participated in training (past 12 months),1,can_work,Can Work (if disabled),0.0,18.0,,,,,,4.358353510895883,413.0
training,Participated in training (past 12 months),0,can_work,Can Work (if disabled),1.0,181.0,,,,,,80.44444444444444,225.0
training,Participated in training (past 12 months),1,can_work,Can Work (if disabled),1.0,44.0,,,,,,19.555555555555557,225.0
training,Participated in training (past 12 months),0,gender,Gender,Female,271.0,,,,,,91.86440677966101,295.0
training,Participated in training (past 12 months),1,gender,Gender,Female,24.0,,,,,,8.135593220338983,295.0
training,Participated in training (past 12 months),0,gender,Gender,Male,284.0,,,,,,90.44585987261146,314.0
training,Participated in training (past 12 months),1,gender,Gender,Male,30.0,,,,,,9.554140127388536,314.0
training,Participated in training (past 12 months),0,gender,Gender,Other,21.0,,,,,,72.41379310344827,29.0
training,Participated in training (past 12 months),1,gender,Gender,Other,8.0,,,,,,27.586206896551722,29.0
